ID,DESCRIPTION,Attribut1,Application,Characteristic,Material,Size,LC Risk,Mounting,Mounting Feature,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V)
A561,Indicator Chip Very Fast Movement 1.75A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,1.75,63.0,63.0,63.0
A562,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.2,125.0,125.0,125.0
A563,Indicator Chip Very Fast Movement 0.2A 125V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.2,125.0,125.0,125.0
A564,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.25,125.0,125.0,125.0
A565,Indicator Chip Very Fast Movement 0.25A 125V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.25,125.0,125.0,125.0
A566,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.375,125.0,125.0,125.0
A567,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.5,63.0,63.0,63.0
A568,Indicator Chip Very Fast Movement 0.5A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.5,63.0,63.0,63.0
A569,nan,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.75,63.0,63.0,63.0
A570,Indicator Chip Very Fast Movement 0.75A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL,VERY FAST,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.75,63.0,63.0,63.0
A571,nan,UNKNOWN,NOT SPECIFIED,SLOW,UNKNOWN,1206,High,UNKNOWN,NOT SPECIFIED,55.0,-55.0,6.1,8.4,50.0,1.0,63.0,0.0,0.0
A572,nan,SLOW,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,2.0,63.0,63.0,63.0
A573,Indicator Chip Slow Blow Movement 3.15A 32V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator,SLOW,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,Low,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,3.15,32.0,0.0,32.0
A574,"Indicator 1.5A 63V Slow Blow Movement 2-Pin Electric Indicator, Time Lag Blow, 1.5A, 63VAC, 63VDC, 50A (IR), Surface Mount, 1206",SLOW,MOTOR CIRCUIT,SLOW,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,1.5,63.0,63.0,1.5
A575,"Indicator Chip Slow Blow Movement 1.5A 63V SMD Solder Pad 1206 Epoxy T/R CSA Electric Indicator, Slow Blow, 1.5A, 63VAC, 63VDC, 50A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,1.5,63.0,63.0,1.5
A576,nan,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,NOT SPECIFIED,High,UNKNOWN,NOT SPECIFIED,55.0,-55.0,6.1,8.4,50.0,2.0,125.0,0.0,0.0
A577,nan,SLOW,MOTOR CIRCUIT,UNKNOWN,EPOXY,3.18 X 1.52 X 1.14mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.5,63.0,63.0,63.0
A578,"Indicator Chip Slow Blow Movement 0.5A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Slow Blow, 0.5A, 63VAC, 63VDC, 50A (IR), Surface Mount",SLOW,MOTOR CIRCUIT,SLOW,EPOXY,3.18 X 1.52 X 1.14mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,0.5,63.0,63.0,0.5
A579,nan,UNKNOWN,MOTOR CIRCUIT,UNKNOWN,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,6.1,8.4,50.0,2.0,125.0,0.0,0.0
A580,nan,UNKNOWN,MOTOR CIRCUIT,UNKNOWN,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,6.1,8.4,50.0,1.5,125.0,0.0,0.0
A581,nan,UNKNOWN,MOTOR CIRCUIT,UNKNOWN,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,6.1,8.4,50.0,0.25,125.0,0.0,0.0
A582,nan,UNKNOWN,MOTOR CIRCUIT,UNKNOWN,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,6.1,8.4,50.0,0.375,125.0,0.0,0.0
A583,nan,UNKNOWN,MOTOR CIRCUIT,UNKNOWN,UNKNOWN,NOT SPECIFIED,UNKNOWN,UNKNOWN,NOT SPECIFIED,55.0,-55.0,6.1,8.4,50.0,0.75,125.0,0.0,0.0
A584,nan,UNKNOWN,NOT SPECIFIED,VERY FAST,UNKNOWN,NOT SPECIFIED,High,UNKNOWN,SURFACE MOUNT,55.0,-55.0,6.1,8.4,50.0,1.0,63.0,63.0,63.0
A585,"Indicator Chip Very Fast Movement 1A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 1A, 63VAC, 63VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,1.0,63.0,63.0,63.0
A586,nan,UNKNOWN,NOT SPECIFIED,VERY FAST,UNKNOWN,NOT SPECIFIED,High,UNKNOWN,SURFACE MOUNT,55.0,-55.0,6.1,8.4,50.0,2.0,63.0,63.0,63.0
A587,nan,VERY FAST,BATTERY PACK,UNKNOWN,EPOXY,3.18 X 1.52 X 0.58mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,2.0,63.0,63.0,63.0
A588,"Indicator Chip Very Fast Movement 2A 63V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 2A, 63VAC, 63VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,2.0,63.0,63.0,63.0
A589,nan,UNKNOWN,NOT SPECIFIED,VERY FAST,UNKNOWN,NOT SPECIFIED,High,UNKNOWN,SURFACE MOUNT,55.0,-55.0,6.1,8.4,50.0,3.0,32.0,0.0,32.0
A590,"Indicator Chip Very Fast Movement 3A 32V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 3A, 32VAC, 32VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,3.0,32.0,32.0,32.0
A591,nan,UNKNOWN,NOT SPECIFIED,VERY FAST,UNKNOWN,NOT SPECIFIED,High,UNKNOWN,SURFACE MOUNT,55.0,-55.0,6.1,8.4,50.0,4.0,24.0,0.0,24.0
A592,"Indicator Chip Very Fast Movement 4A 24V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 4A, 24VAC, 24VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,4.0,24.0,24.0,24.0
A593,nan,UNKNOWN,NOT SPECIFIED,VERY FAST,UNKNOWN,NOT SPECIFIED,High,UNKNOWN,SURFACE MOUNT,55.0,-55.0,6.1,8.4,50.0,5.0,24.0,0.0,24.0
A594,"Indicator Chip Very Fast Movement 5A 24V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 5A, 24VAC, 24VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,5.0,24.0,24.0,24.0
A595,nan,UNKNOWN,NOT SPECIFIED,VERY FAST,UNKNOWN,NOT SPECIFIED,High,UNKNOWN,SURFACE MOUNT,55.0,-55.0,6.1,8.4,50.0,7.0,24.0,0.0,24.0
A596,"Indicator Chip Very Fast Movement 1.5A 63V SMD Solder Pad 1206 Epoxy CSA/UL Electric Indicator, Very Fast Blow, 1.5A, 63VAC, 63VDC, 50A (IR), Surface Mount, 1206",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,1.5,63.0,63.0,63.0
A597,"Indicator Chip Very Fast Movement 1.5A 63V SMD Solder Pad 1206 Epoxy T/R CSA Electric Indicator, Very Fast Blow, 1.5A, 63VAC, 63VDC, 50A (IR), Surface Mount, 1206",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,1.5,63.0,63.0,63.0
A598,"Indicator Chip Very Fast Movement 2.5A 32V SMD Solder Pad 1206 Epoxy T/R CSA/UL Electric Indicator, Very Fast Blow, 2.5A, 32VAC, 32VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,50.0,2.5,32.0,32.0,32.0
A599,"Indicator 0.125A 125V Very Fast Movement 2-Pin SMD Electric Indicator, Very Fast Blow, 1.25A, 63VAC, 63VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52mm,High,UNKNOWN,SURFACE MOUNT,55.0,-55.0,6.1,8.4,0.125,1.25,63.0,63.0,63.0
A600,nan,VERY FAST,BATTERY PACK,UNKNOWN,EPOXY,3.18 X 1.52 X 0.58mm,UNKNOWN,SURFACE MOUNT,NOT SPECIFIED,55.0,-55.0,6.1,3.18,50.0,0.125,125.0,125.0,125.0
A601,"Indicator Chip Very Fast Movement 0.125A 125V SMD Solder Pad 1206 Epoxy T/R CSA Electric Indicator, Very Fast Blow, 0.125A, 125VAC, 125VDC, 50A (IR), Surface Mount",VERY FAST,BATTERY PACK,VERY FAST,EPOXY,3.18 X 1.52 X 0.58mm,High,SURFACE MOUNT,SURFACE MOUNT,55.0,-55.0,6.1,3.18,0.125,1.25,63.0,125.0,63.0
A602,nan,UNKNOWN,NOT SPECIFIED,VERY FAST,UNKNOWN,NOT SPECIFIED,High,UNKNOWN,SURFACE MOUNT,55.0,-55.0,6.1,8.4,50.0,1.75,63.0,63.0,63.0
